Date,PhaseName,Rank,Medal,Person/Team,Country, ,Age (days),Result
06-Aug-2021,Athletics 4 x 100m Relay Women - Olympic Games 2021,11,,Brazil,Brazil,,29-197,43.15
06-Aug-2021,Athletics 20km Walk Women - Olympic Games 2021,11,,"Erica de Sena (BRA, 03 May 1985)",Brazil,,36-095,1:31:39
06-Aug-2021,Athletics 400m Women - Olympic Games 2021,26,,"Tiffani Silva (BRA, 06 May 1999)",Brazil,,22-092,52.11
06-Aug-2021,Athletics Javelin Throw Women - Olympic Games 2021,15,,"Jucilene De Lima (BRA, 14 Sep 1990)",Brazil,,30-326,60.14
06-Aug-2021,Athletics Javelin Throw Women - Olympic Games 2021,18,,"Laila Silva (BRA, 30 Jul 1982)",Brazil,,39-007,59.47
06-Aug-2021,Beach Volleyball Team Women - Olympic Games 2021,5,,Cavalcanti / Silva Ramos,Brazil,,26-025,
06-Aug-2021,Beach Volleyball Team Women - Olympic Games 2021,9,,Agatha / Santos Lisboa,Brazil,,30-208,
06-Aug-2021,Boxing Heavyweight Men - Olympic Games 2021,3,B,"Abner Teixeira (BRA, 10 Sep 1996)",Brazil,,24-330,
06-Aug-2021,Modern Pentathlon Individual Women - Olympic Games 2021,36,,"Maria Ieda Chaves Guimaraes (BRA, 30 Aug 2000)",Brazil,,20-341,430
06-Aug-2021,Table Tennis Team Men - Olympic Games 2021,5,,Brazil,Brazil,,29-022,
05-Aug-2021,Athletics 20km Walk Men - Olympic Games 2021,13,,"Caio Bonfim (BRA, 19 Mar 1991)",Brazil,,30-139,1:23:21
05-Aug-2021,Athletics 20km Walk Men - Olympic Games 2021,46,,"Matheus Correa (BRA, 22 Aug 1999)",Brazil,,21-348,1:31:47
05-Aug-2021,Athletics 20km Walk Men - Olympic Games 2021,DNF,,"Lucas Mazzo (BRA, 19 May 1994)",Brazil,,27-078,
05-Aug-2021,Athletics 110m Hurdles Men - Olympic Games 2021,17,,"Rafael Henrique Pereira (BRA, 08 Apr 1997)",Brazil,,24-119,13.62
05-Aug-2021,Athletics 110m Hurdles Men - Olympic Games 2021,22,,"Gabriel Constantino (BRA, 09 Feb 1995)",Brazil,,26-177,13.89
05-Aug-2021,Athletics 110m Hurdles Men - Olympic Games 2021,33,,"Eduardo De Deus (BRA, 08 Oct 1995)",Brazil,,25-301,13.78
05-Aug-2021,Athletics 400m Men - Olympic Games 2021,32,,"Lucas Carvalho (BRA, 16 Jul 1993)",Brazil,,28-020,46.12
05-Aug-2021,Athletics Decathlon Men - Olympic Games 2021,18,,"Felipe Dos Santos (BRA, 30 Jul 1994)",Brazil,,27-006,7880
05-Aug-2021,Athletics Shot Put Men - Olympic Games 2021,4,,"Darlan Romani (BRA, 09 Apr 1991)",Brazil,,30-118,21.88
05-Aug-2021,Athletics Triple Jump Men - Olympic Games 2021,20,,"Mateus De Sá (BRA, 21 Nov 1995)",Brazil,,25-257,16.49
05-Aug-2021,Athletics Triple Jump Men - Olympic Games 2021,23,,"Almir dos Santos (BRA, 04 Sep 1993)",Brazil,,27-335,16.27
05-Aug-2021,Athletics Triple Jump Men - Olympic Games 2021,26,,"Alexsandro Melo (BRA, 26 Sep 1995)",Brazil,,25-313,15.65
05-Aug-2021,Diving 10m Platform Women - Olympic Games 2021,24,,"Ingrid Oliveira (BRA, 07 May 1996)",Brazil,,25-090,261.20
05-Aug-2021,Skateboarding Park Men - Olympic Games 2021,2,S,"Pedro Barros (BRA, 15 Mar 1995)",Brazil,,26-143,86.14
05-Aug-2021,Skateboarding Park Men - Olympic Games 2021,4,,"Luiz Francisco (BRA, 24 Jul 2000)",Brazil,,21-012,83.14
05-Aug-2021,Skateboarding Park Men - Olympic Games 2021,8,,"Pedro Quintas (BRA, 13 May 2002)",Brazil,,19-084,38.47
05-Aug-2021,Table Tennis Team Women - Olympic Games 2021,9,,Brazil,Brazil,,26-107,
04-Aug-2021,Athletics 200m Men - Olympic Games 2021,33,,"Aldemir Júnior (BRA, 08 Jun 1992)",Brazil,,29-057,20.84
04-Aug-2021,Athletics 200m Men - Olympic Games 2021,35,,"Jorge Henrique Vides (BRA, 24 Nov 1992)",Brazil,,28-253,20.94
04-Aug-2021,Athletics 200m Men - Olympic Games 2021,43,,"Lucas Conceicao Vilar (BRA, 10 Mar 2001)",Brazil,,20-147,21.31
04-Aug-2021,Athletics 400m Hurdles Women - Olympic Games 2021,35,,"Chayenne da Silva (BRA, 05 Feb 2000)",Brazil,,21-180,57.55
04-Aug-2021,Athletics 800m Men - Olympic Games 2021,39,,"Thiago Andrè (BRA, 04 Aug 1995)",Brazil,,26-000,1:47.75
04-Aug-2021,Athletics 3000m Steeplechase Women - Olympic Games 2021,29,,"Tatiane Da Silva (BRA, 10 Jun 1990)",Brazil,,31-055,9:36.43
04-Aug-2021,Athletics 3000m Steeplechase Women - Olympic Games 2021,38,,"Simone Ferraz (BRA, 12 Mar 1990)",Brazil,,31-145,10:00.92
04-Aug-2021,Boxing Light Heavyweight Men - Olympic Games 2021,5,,"Keno Machado (BRA, 11 Jul 2000)",Brazil,,21-024,
04-Aug-2021,Equestrian - Jumping Individual Open - Olympic Games 2021,20,,Mansur (QH Alfons Santo Antonio),Brazil,,42-072,8.0
04-Aug-2021,Equestrian - Jumping Individual Open - Olympic Games 2021,31,,Modolo Zanotelli (VDL Edgar M),Brazil,,33-046,4.0
04-Aug-2021,Open Water Swimming 10km Women - Olympic Games 2021,1,G,"Ana Marcela Cunha (BRA, 23 Mar 1992)",Brazil,,29-134,1:59:30.8
04-Aug-2021,Sailing 470 Men - Olympic Games 2021,16,,Bethlem / Haddad,Brazil,,39-360,116
04-Aug-2021,Sailing 470 Women - Olympic Games 2021,9,,Oliveira Horn / Barbachan,Brazil,,36-109,82
04-Aug-2021,Skateboarding Park Women - Olympic Games 2021,7,,"Dora Varella (BRA, 31 Jul 2001)",Brazil,,20-004,40.42
04-Aug-2021,Skateboarding Park Women - Olympic Games 2021,8,,"Yndiara Asp (BRA, 19 Oct 1997)",Brazil,,23-289,37.34
04-Aug-2021,Skateboarding Park Women - Olympic Games 2021,10,,"Isadora Pacheco (BRA, 29 Mar 2005)",Brazil,,16-128,37.08
04-Aug-2021,Wrestling - Freestyle 62kg Women - Olympic Games 2021,14,,"Lais Nunes De Oliveira (BRA, 03 Nov 1992)",Brazil,,28-274,
03-Aug-2021,Athletics 200m Women - Olympic Games 2021,27,,"Ana Carolina Azevedo (BRA, 19 May 1998)",Brazil,,23-076,23.20
03-Aug-2021,Athletics 200m Women - Olympic Games 2021,34,,"Vitoria Cristina Rosa (BRA, 12 Jan 1996)",Brazil,,25-203,23.59
03-Aug-2021,Athletics 400m Hurdles Men - Olympic Games 2021,3,B,"Alison Dos Santos (BRA, 03 Jun 2000)",Brazil,,21-061,46.72
03-Aug-2021,Athletics 400m Hurdles Men - Olympic Games 2021,25,,"Marcio Teles (BRA, 27 Jan 1994)",Brazil,,27-188,49.70
03-Aug-2021,Athletics Long Jump Women - Olympic Games 2021,18,,"Eliane Martins (BRA, 26 May 1986)",Brazil,,35-069,6.43
03-Aug-2021,Athletics Pole Vault Men - Olympic Games 2021,3,B,"Thiago Braz (BRA, 16 Dec 1993)",Brazil,,27-230,5.87
03-Aug-2021,Athletics Pole Vault Men - Olympic Games 2021,16,,"Augusto Dutra (BRA, 16 Jul 1990)",Brazil,,31-018,5.65
03-Aug-2021,Boxing Featherweight Women - Olympic Games 2021,9,,"Jucielen Romeu (BRA, 13 Apr 1996)",Brazil,,25-112,
03-Aug-2021,Canoe Sprint C2 1000m Men - Olympic Games 2021,4,,Queiroz Dos Santos / Godmann,Brazil,,24-345,3:27.603
03-Aug-2021,Canoe Sprint K1 1000m Men - Olympic Games 2021,19,,"Vagner Junior Souta (BRA, 10 Feb 1991)",Brazil,,30-174,3:52.402
03-Aug-2021,Gymnastics - Artistic Beam Women - Olympic Games 2021,7,,"Flávia Saraiva (BRA, 30 Sep 1999)",Brazil,,21-307,13.133
03-Aug-2021,Gymnastics - Artistic Beam Women - Olympic Games 2021,18,,"Rebeca Andrade (BRA, 08 May 1999)",Brazil,,22-087,13.733
03-Aug-2021,Gymnastics - Artistic Horizontal Bar Men - Olympic Games 2021,12,,"Arthur Mariano (BRA, 18 Sep 1993)",Brazil,,27-319,14.133
03-Aug-2021,Gymnastics - Artistic Horizontal Bar Men - Olympic Games 2021,22,,"Francisco Barretto (BRA, 31 Oct 1989)",Brazil,,31-276,13.833
03-Aug-2021,Gymnastics - Artistic Horizontal Bar Men - Olympic Games 2021,28,,"Caio Souza (BRA, 12 Sep 1993)",Brazil,,27-325,13.466
03-Aug-2021,Gymnastics - Artistic Horizontal Bar Men - Olympic Games 2021,37,,"Diogo Soares (BRA, 12 Apr 2002)",Brazil,,19-113,13.233
03-Aug-2021,Gymnastics - Artistic Parallel Bars Men - Olympic Games 2021,31,,"Caio Souza (BRA, 12 Sep 1993)",Brazil,,27-325,14.533
03-Aug-2021,Gymnastics - Artistic Parallel Bars Men - Olympic Games 2021,45,,"Francisco Barretto (BRA, 31 Oct 1989)",Brazil,,31-276,14.000
03-Aug-2021,Gymnastics - Artistic Parallel Bars Men - Olympic Games 2021,48,,"Diogo Soares (BRA, 12 Apr 2002)",Brazil,,19-113,13.900
03-Aug-2021,Gymnastics - Artistic Parallel Bars Men - Olympic Games 2021,DNS,,"Arthur Mariano (BRA, 18 Sep 1993)",Brazil,,27-319,
03-Aug-2021,Sailing 49er FX Women - Olympic Games 2021,1,G,Grael / Kunze,Brazil,,30-158,76
03-Aug-2021,Sailing 49er Men - Olympic Games 2021,16,,Grael / Borges,Brazil,,30-290,147
03-Aug-2021,Sailing Finn Men - Olympic Games 2021,14,,"Jorge Zarif (BRA, 30 Sep 1992)",Brazil,,28-307,95
03-Aug-2021,Sailing Nacra 17 Mixed - Olympic Games 2021,10,,Albrecht / Nicolino de Sá,Brazil,,35-339,117
02-Aug-2021,Athletics 100m Hurdles Women - Olympic Games 2021,35,,"Ketiley Batista (BRA, 13 Jul 1999)",Brazil,,22-020,13.40
02-Aug-2021,Athletics 3000m Steeplechase Men - Olympic Games 2021,28,,"Altobeli da Silva (BRA, 03 Dec 1990)",Brazil,,30-242,8:29.17
02-Aug-2021,Athletics Discus Throw Women - Olympic Games 2021,11,,"Izabela Da Silva (BRA, 02 Aug 1995)",Brazil,,26-000,60.39
02-Aug-2021,Athletics Discus Throw Women - Olympic Games 2021,21,,"Andressa de Morais (BRA, 21 Dec 1990)",Brazil,,30-224,58.90
02-Aug-2021,Athletics Discus Throw Women - Olympic Games 2021,24,,"Fernanda Martins (BRA, 26 Jul 1988)",Brazil,,33-007,57.90
02-Aug-2021,Athletics Long Jump Men - Olympic Games 2021,16,,"Samory Fraga (BRA, 29 Nov 1996)",Brazil,,24-246,7.88
02-Aug-2021,Athletics Long Jump Men - Olympic Games 2021,29,,"Alexsandro Melo (BRA, 26 Sep 1995)",Brazil,,25-310,6.95
02-Aug-2021,Badminton Singles Men - Olympic Games 2021,15,,"Ygor Oliveira (BRA, 24 Nov 1996)",Brazil,,24-251,
02-Aug-2021,Equestrian - Eventing Individual Open - Olympic Games 2021,32,,Parro (Goliath),Brazil,,42-058,62.90
02-Aug-2021,Equestrian - Eventing Individual Open - Olympic Games 2021,WDW,,Tosi (Glenfly),Brazil,,,
02-Aug-2021,Equestrian - Eventing Individual Open - Olympic Games 2021,RET,,Mamprin Losano (Fuiloda G),Brazil,,,
02-Aug-2021,Equestrian - Eventing Team Open - Olympic Games 2021,12,,Brazil,Brazil,,40-048,463.60
02-Aug-2021,Gymnastics - Artistic Floor Exercise Women - Olympic Games 2021,5,,"Rebeca Andrade (BRA, 08 May 1999)",Brazil,,22-086,14.033
02-Aug-2021,Gymnastics - Artistic Floor Exercise Women - Olympic Games 2021,69,,"Flávia Saraiva (BRA, 30 Sep 1999)",Brazil,,21-306,12.066
02-Aug-2021,Gymnastics - Artistic Rings Men - Olympic Games 2021,8,,"Arthur Zanetti (BRA, 16 Apr 1990)",Brazil,,31-108,14.133
02-Aug-2021,Gymnastics - Artistic Rings Men - Olympic Games 2021,15,,"Caio Souza (BRA, 12 Sep 1993)",Brazil,,27-324,14.333
02-Aug-2021,Gymnastics - Artistic Rings Men - Olympic Games 2021,53,,"Francisco Barretto (BRA, 31 Oct 1989)",Brazil,,31-275,13.200
02-Aug-2021,Gymnastics - Artistic Rings Men - Olympic Games 2021,55,,"Diogo Soares (BRA, 12 Apr 2002)",Brazil,,19-112,13.133
02-Aug-2021,Gymnastics - Artistic Rings Men - Olympic Games 2021,DNS,,"Arthur Mariano (BRA, 18 Sep 1993)",Brazil,,27-318,
02-Aug-2021,Gymnastics - Artistic Vault Men - Olympic Games 2021,8,,"Caio Souza (BRA, 12 Sep 1993)",Brazil,,27-324,13.683
02-Aug-2021,Weightlifting 87kg Women - Olympic Games 2021,12,,"Jaqueline Ferreira (BRA, 05 Mar 1987)",Brazil,,34-150,215
02-Aug-2021,Wrestling - Freestyle 76kg Women - Olympic Games 2021,14,,"Aline da Silva Ferreira (BRA, 18 Oct 1986)",Brazil,,34-288,
02-Aug-2021,Wrestling - Greco-Roman 130kg Men - Olympic Games 2021,13,,"Eduard Soghomonyan (BRA, 19 Feb 1990)",Brazil,,31-164,
01-Aug-2021,Athletics 100m Men - Olympic Games 2021,23,,"Paulo André De Oliveira (BRA, 20 Aug 1998)",Brazil,,22-346,10.31
01-Aug-2021,Athletics 100m Men - Olympic Games 2021,34,,"Rodrigo Do Nascimento (BRA, 26 Sep 1994)",Brazil,,26-309,10.24
01-Aug-2021,Athletics 100m Men - Olympic Games 2021,38,,"Felipe Bardi dos Santos (BRA, 08 Oct 1998)",Brazil,,22-297,10.26
01-Aug-2021,Athletics High Jump Men - Olympic Games 2021,21,,"Fernando Ferreira (BRA, 13 Dec 1994)",Brazil,,26-231,2.21
01-Aug-2021,Athletics High Jump Men - Olympic Games 2021,21,,"Thiago Moura (BRA, 27 Nov 1995)",Brazil,,25-247,2.21
01-Aug-2021,Athletics Shot Put Women - Olympic Games 2021,30,,"Geisa Arcanjo (BRA, 19 Sep 1991)",Brazil,,29-316,16.46
01-Aug-2021,Athletics Triple Jump Women - Olympic Games 2021,17,,"Nubia Soares (BRA, 26 Mar 1996)",Brazil,,25-128,14.07
01-Aug-2021,Badminton Singles Women - Olympic Games 2021,15,,"Fabiana Da Silva (BRA, 27 Jul 1988)",Brazil,,33-005,
01-Aug-2021,Diving 3m Springboard Women - Olympic Games 2021,21,,"Luana Lira (BRA, 05 Mar 1996)",Brazil,,25-149,244.35
01-Aug-2021,Gymnastics - Artistic Floor Exercise Men - Olympic Games 2021,20,,"Diogo Soares (BRA, 12 Apr 2002)",Brazil,,19-111,14.200
01-Aug-2021,Gymnastics - Artistic Floor Exercise Men - Olympic Games 2021,25,,"Caio Souza (BRA, 12 Sep 1993)",Brazil,,27-323,13.966
01-Aug-2021,Gymnastics - Artistic Floor Exercise Men - Olympic Games 2021,57,,"Francisco Barretto (BRA, 31 Oct 1989)",Brazil,,31-274,13.000
01-Aug-2021,Gymnastics - Artistic Floor Exercise Men - Olympic Games 2021,63,,"Arthur Mariano (BRA, 18 Sep 1993)",Brazil,,27-317,12.800
01-Aug-2021,Gymnastics - Artistic Pommel Horse Men - Olympic Games 2021,36,,"Caio Souza (BRA, 12 Sep 1993)",Brazil,,27-323,13.400
01-Aug-2021,Gymnastics - Artistic Pommel Horse Men - Olympic Games 2021,42,,"Francisco Barretto (BRA, 31 Oct 1989)",Brazil,,31-274,13.200
01-Aug-2021,Gymnastics - Artistic Pommel Horse Men - Olympic Games 2021,54,,"Diogo Soares (BRA, 12 Apr 2002)",Brazil,,19-111,12.800
01-Aug-2021,Gymnastics - Artistic Pommel Horse Men - Olympic Games 2021,DNS,,"Arthur Mariano (BRA, 18 Sep 1993)",Brazil,,27-317,
01-Aug-2021,Gymnastics - Artistic Uneven Bars Women - Olympic Games 2021,19,,"Rebeca Andrade (BRA, 08 May 1999)",Brazil,,22-085,14.200
01-Aug-2021,Gymnastics - Artistic Uneven Bars Women - Olympic Games 2021,DNS,,"Flávia Saraiva (BRA, 30 Sep 1999)",Brazil,,21-305,
01-Aug-2021,Gymnastics - Artistic Vault Women - Olympic Games 2021,1,G,"Rebeca Andrade (BRA, 08 May 1999)",Brazil,,22-085,15.083
01-Aug-2021,Sailing Laser Men - Olympic Games 2021,8,,"Robert Scheidt (BRA, 15 Apr 1973)",Brazil,,48-108,104
01-Aug-2021,Swimming 4 x 100m Medley Relay Men - Olympic Games 2021,DSQ,,Brazil,Brazil,,,
01-Aug-2021,Swimming 50m Freestyle Men - Olympic Games 2021,3,B,"Bruno Fratus (BRA, 30 Jun 1989)",Brazil,,32-032,21.57
01-Aug-2021,Swimming 50m Freestyle Women - Olympic Games 2021,29,,"Etiene Medeiros (BRA, 24 May 1991)",Brazil,,30-069,25.45
01-Aug-2021,Swimming 1500m Freestyle Men - Olympic Games 2021,13,,"Guilherme Costa (BRA, 01 Oct 1998)",Brazil,,22-304,15:01.18
01-Aug-2021,Tennis Doubles Mixed - Olympic Games 2021,9,,Melo / Stefani,Brazil,,30-335,
01-Aug-2021,Tennis Doubles Women - Olympic Games 2021,3,B,Pigossi / Stefani,Brazil,,25-178,
01-Aug-2021,Tennis Singles Men - Olympic Games 2021,33,,"João Menezes (BRA, 17 Dec 1996)",Brazil,,24-227,
01-Aug-2021,Tennis Singles Men - Olympic Games 2021,33,,"Thiago Monteiro (BRA, 31 May 1994)",Brazil,,27-062,
31-Jul-2021,Archery Individual Men - Olympic Games 2021,9,,"Marcus D’Almeida (BRA, 30 Jan 1998)",Brazil,,23-182,
31-Jul-2021,Athletics 4 x 400m Relay Mixed - Olympic Games 2021,14,,Brazil,Brazil,,26-216,3:15.89
31-Jul-2021,Athletics 100m Women - Olympic Games 2021,30,,"Rosângela Santos (BRA, 20 Dec 1990)",Brazil,,30-223,11.33
31-Jul-2021,Athletics 100m Women - Olympic Games 2021,DNS,,"Vitoria Cristina Rosa (BRA, 12 Jan 1996)",Brazil,,25-200,
31-Jul-2021,Judo Team Mixed - Olympic Games 2021,7,,Brazil,Brazil,,29-157,
31-Jul-2021,Rugby Sevens Team Women - Olympic Games 2021,11,,Brazil,Brazil,,25-288,
31-Jul-2021,Sailing RS:X Women - Olympic Games 2021,10,,"Patricia Freitas (BRA, 10 Mar 1990)",Brazil,,31-143,133
31-Jul-2021,Swimming 4 x 100m Medley Relay Mixed - Olympic Games 2021,14,,Brazil,Brazil,,25-152,3:46.74
31-Jul-2021,Swimming 100m Butterfly Men - Olympic Games 2021,26,,"Vinicius Lanza (BRA, 22 Mar 1997)",Brazil,,24-131,52.08
31-Jul-2021,Swimming 100m Butterfly Men - Olympic Games 2021,43,,"Matheus Gonche (BRA, 05 Jan 1999)",Brazil,,22-207,53.02
31-Jul-2021,Swimming 800m Freestyle Women - Olympic Games 2021,24,,"Viviane Jungblut (BRA, 29 Jun 1996)",Brazil,,25-032,8:38.88
30-Jul-2021,Archery Individual Women - Olympic Games 2021,17,,"Ane Marcelle Dos Santos (BRA, 12 Jan 1994)",Brazil,,27-199,
30-Jul-2021,BMX Racing Individual Men - Olympic Games 2021,14,,"Renato Rezende (BRA, 28 Feb 1991)",Brazil,,30-152,
30-Jul-2021,BMX Racing Individual Women - Olympic Games 2021,22,,"Priscilla Stevaux Carnaval (BRA, 02 Dec 1993)",Brazil,,27-240,
30-Jul-2021,Canoe Slalom K1 Men - Olympic Games 2021,19,,"Pedro Gonçalves (BRA, 12 Apr 1993)",Brazil,,28-109,104.33
30-Jul-2021,Judo +78kg Women - Olympic Games 2021,7,,"Maria Suelen Altheman (BRA, 12 Aug 1988)",Brazil,,32-352,
30-Jul-2021,Judo +100kg Men - Olympic Games 2021,7,,"Rafael Silva (BRA, 11 May 1987)",Brazil,,34-080,
30-Jul-2021,Rowing Single Sculls Men - Olympic Games 2021,12,,"Lucas Verthein Ferreira (BRA, 12 May 1998)",Brazil,,23-079,
30-Jul-2021,Swimming 100m Freestyle Women - Olympic Games 2021,30,,"Larissa Oliveira (BRA, 16 Feb 1993)",Brazil,,28-164,55.53
30-Jul-2021,Swimming 200m Individual Medley Men - Olympic Games 2021,19,,"Caio Pumputis (BRA, 08 Jan 1999)",Brazil,,22-203,1:58.36
30-Jul-2021,Swimming 200m Individual Medley Men - Olympic Games 2021,25,,"Vinicius Lanza (BRA, 22 Mar 1997)",Brazil,,24-130,1:58.92
30-Jul-2021,Table Tennis Singles Men - Olympic Games 2021,5,,"Hugo Calderano (BRA, 22 Jun 1996)",Brazil,,25-038,
30-Jul-2021,Table Tennis Singles Men - Olympic Games 2021,9,,"Gustavo Tsuboi (BRA, 31 May 1985)",Brazil,,36-060,
30-Jul-2021,Tennis Doubles Men - Olympic Games 2021,17,,Melo / Demoliner,Brazil,,35-069,
29-Jul-2021,Canoe Slalom C1 Women - Olympic Games 2021,10,,"Ana Satila (BRA, 13 Mar 1996)",Brazil,,25-138,164.71
29-Jul-2021,Gymnastics - Artistic Individual All-Around Women - Olympic Games 2021,2,S,"Rebeca Andrade (BRA, 08 May 1999)",Brazil,,22-082,57.298
29-Jul-2021,Gymnastics - Artistic Individual All-Around Women - Olympic Games 2021,DNF,,"Flávia Saraiva (BRA, 30 Sep 1999)",Brazil,,21-302,
29-Jul-2021,Judo 78kg Women - Olympic Games 2021,3,B,"Mayra Aguiar (BRA, 03 Aug 1991)",Brazil,,29-360,
29-Jul-2021,Judo 100kg Men - Olympic Games 2021,17,,"Rafael Buzacarini (BRA, 06 Oct 1991)",Brazil,,29-296,
29-Jul-2021,Swimming 4 x 200m Freestyle Relay Women - Olympic Games 2021,10,,Brazil,Brazil,,25-219,7:59.50
29-Jul-2021,Swimming 100m Freestyle Men - Olympic Games 2021,25,,"Pedro Spajari (BRA, 18 Feb 1997)",Brazil,,24-161,48.74
29-Jul-2021,Swimming 100m Freestyle Men - Olympic Games 2021,32,,"Gabriel Santos (BRA, 04 May 1996)",Brazil,,25-086,49.33
29-Jul-2021,Swimming 800m Freestyle Men - Olympic Games 2021,8,,"Guilherme Costa (BRA, 01 Oct 1998)",Brazil,,22-301,7:53.31
29-Jul-2021,Table Tennis Singles Women - Olympic Games 2021,33,,"Bruna Takahashi (BRA, 19 Jul 2000)",Brazil,,21-010,
29-Jul-2021,Table Tennis Singles Women - Olympic Games 2021,49,,"Jessica Yamada (BRA, 13 Oct 1989)",Brazil,,31-289,
28-Jul-2021,Equestrian - Dressage Individual Open - Olympic Games 2021,26,,Marcari Oliva (Escorial),Brazil,,25-176,70.419
28-Jul-2021,Gymnastics - Artistic Individual All-Around Men - Olympic Games 2021,17,,"Caio Souza (BRA, 12 Sep 1993)",Brazil,,27-319,81.532
28-Jul-2021,Gymnastics - Artistic Individual All-Around Men - Olympic Games 2021,20,,"Diogo Soares (BRA, 12 Apr 2002)",Brazil,,19-107,81.198
28-Jul-2021,Gymnastics - Artistic Individual All-Around Men - Olympic Games 2021,42,,"Francisco Barretto (BRA, 31 Oct 1989)",Brazil,,31-270,80.699
28-Jul-2021,Gymnastics - Artistic Individual All-Around Men - Olympic Games 2021,DNF,,"Arthur Mariano (BRA, 18 Sep 1993)",Brazil,,27-313,
28-Jul-2021,Judo 70kg Women - Olympic Games 2021,9,,"Maria Portela (BRA, 14 Jan 1988)",Brazil,,33-195,
28-Jul-2021,Judo 90kg Men - Olympic Games 2021,33,,"Rafael Macedo (BRA, 15 Sep 1994)",Brazil,,26-316,
28-Jul-2021,Swimming 4 x 200m Freestyle Relay Men - Olympic Games 2021,8,,Brazil,Brazil,,22-197,7:08.22
28-Jul-2021,Swimming 200m Butterfly Men - Olympic Games 2021,6,,"Leonardo de Deus (BRA, 18 Jan 1991)",Brazil,,30-191,1:55.19
28-Jul-2021,Swimming 1500m Freestyle Women - Olympic Games 2021,20,,"Viviane Jungblut (BRA, 29 Jun 1996)",Brazil,,25-029,16:21.29
28-Jul-2021,Swimming 1500m Freestyle Women - Olympic Games 2021,24,,"Beatriz Pimentel Dizotti (BRA, 13 Apr 2000)",Brazil,,21-106,16:29.37
27-Jul-2021,Canoe Slalom K1 Women - Olympic Games 2021,13,,"Ana Satila (BRA, 13 Mar 1996)",Brazil,,25-136,114.62
27-Jul-2021,Judo 63kg Women - Olympic Games 2021,7,,"Ketleyn Quadros (BRA, 01 Oct 1987)",Brazil,,33-299,
27-Jul-2021,Judo 81kg Men - Olympic Games 2021,17,,"Eduardo Yudi Santos (BRA, 25 Oct 1994)",Brazil,,26-275,
27-Jul-2021,Mountain Bike Cross Country Women - Olympic Games 2021,35,,"Jaqueline Mourão (BRA, 27 Dec 1975)",Brazil,,45-212,
